,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,1,0,0.0,0,2,0,0,1,0,0,0,0,0,1,0,0.11542288557213934,0.0012750980844680362,0
1,1,0,0,0,0.46478873239436624,1,0,0,1,0,1,0,0,0,1,0,1,0.38507462686567173,0.2158666051234711,0
2,1,0,0,0,0.014084507042253521,1,0,0,1,1,0,0,0,0,0,1,1,0.3542288557213931,0.010310408492961,1
3,1,0,0,0,0.619718309859155,0,2,0,1,0,1,1,0,0,1,0,2,0.2393034825870647,0.21024117239787682,0
4,0,0,0,0,0.014084507042253521,1,0,1,0,0,0,0,0,0,0,1,0,0.5218905472636817,0.015330025386568202,1
5,0,0,0,0,0.09859154929577466,1,1,1,0,0,1,0,1,1,0,1,0,0.8099502487562191,0.0925109623817217,1
6,1,0,0,1,0.295774647887324,1,1,1,0,1,0,0,1,0,0,1,3,0.7049751243781095,0.22277867528271414,0
7,0,0,0,0,0.1267605633802817,0,2,0,1,0,0,0,0,0,0,0,1,0.11442786069651742,0.03266789753057928,0
8,0,0,1,0,0.3802816901408451,1,1,1,0,0,1,1,1,1,0,1,0,0.8611940298507464,0.34932494807292874,1
9,1,0,0,1,0.8591549295774649,1,0,0,1,1,0,0,0,0,1,0,2,0.3771144278606966,0.4003173321024695,0
10,1,0,1,1,0.16901408450704225,1,0,0,1,0,0,0,0,0,0,1,1,0.3154228855721394,0.06561850911608588,0
11,1,0,0,0,0.2112676056338028,1,0,2,2,2,2,2,2,2,2,0,3,0.006965174129353215,0.03554119547657513,0
12,1,0,1,0,0.8028169014084507,1,1,1,0,0,1,0,1,1,1,0,3,0.8169154228855723,0.6533925686591278,0
13,1,0,0,0,0.676056338028169,1,1,1,0,1,1,0,1,1,0,1,2,0.8502487562189057,0.5789868451419341,1
14,1,0,0,0,0.33802816901408456,1,0,1,1,0,1,1,1,1,0,1,0,0.8681592039800997,0.3077832910223864,0
15,0,0,1,1,0.9577464788732395,1,1,1,1,1,1,1,1,1,2,0,3,0.9452736318407963,0.9088795291945536,0
16,0,0,0,0,0.7183098591549296,1,0,2,2,2,2,2,2,2,1,0,1,0.02388059701492535,0.11587237479806144,0
17,1,0,0,1,0.9859154929577465,1,1,1,1,0,1,0,1,1,2,0,2,0.8800995024875625,0.8496942072467115,0
